runs_remaining,balls_remaining,wickets_remaining,rrr,win
4.0,12,6,2.0,1
3.0,11,6,1.6363636363636365,1
142.0,119,10,7.159663865546219,1
141.0,118,10,7.169491525423728,1
140.0,117,10,7.17948717948718,1
140.0,116,10,7.241379310344828,1
139.0,115,10,7.252173913043478,1
139.0,114,10,7.315789473684211,1
135.0,113,10,7.168141592920354,1
131.0,112,10,7.017857142857142,1
130.0,111,10,7.027027027027027,1
126.0,110,10,6.872727272727273,1
125.0,109,10,6.880733944954128,1
125.0,108,10,6.944444444444445,1
124.0,107,10,6.953271028037384,1
122.0,106,10,6.90566037735849,1
118.0,105,10,6.742857142857143,1
117.0,104,10,6.750000000000001,1
117.0,103,10,6.815533980582524,1
113.0,102,10,6.647058823529412,1
113.0,101,10,6.7128712871287135,1
112.0,100,10,6.72,1
112.0,99,9,6.787878787878788,1
112.0,98,9,6.857142857142858,1
111.0,97,9,6.865979381443299,1
111.0,96,9,6.9375,1
111.0,95,9,7.010526315789473,1
111.0,94,9,7.085106382978724,1
110.0,93,9,7.096774193548387,1
106.0,92,9,6.913043478260869,1
106.0,91,9,6.989010989010989,1
106.0,90,9,7.066666666666666,1
105.0,89,9,7.078651685393258,1
105.0,88,9,7.159090909090909,1
104.0,87,9,7.172413793103448,1
103.0,86,9,7.186046511627906,1
99.0,85,9,6.988235294117647,1
99.0,84,9,7.071428571428571,1
95.0,83,9,6.867469879518072,1
91.0,83,9,6.578313253012048,1
91.0,82,9,6.658536585365854,1
90.0,81,9,6.666666666666667,1
88.0,80,9,6.6,1
88.0,79,9,6.6835443037974684,1
88.0,78,9,6.769230769230769,1
87.0,77,9,6.779220779220779,1
87.0,76,9,6.86842105263158,1
85.0,75,9,6.8,1
85.0,74,9,6.891891891891891,1
84.0,73,9,6.904109589041096,1
83.0,72,9,6.916666666666667,1
82.0,71,9,6.929577464788732,1
81.0,70,9,6.942857142857143,1
80.0,69,9,6.956521739130435,1
76.0,68,9,6.705882352941176,1
70.0,67,9,6.268656716417911,1
64.0,66,9,5.818181818181818,1
60.0,65,9,5.538461538461538,1
59.0,65,9,5.4461538461538455,1
57.0,64,9,5.34375,1
51.0,63,9,4.857142857142857,1
50.0,62,9,4.838709677419355,1
48.0,61,9,4.721311475409836,1
48.0,60,9,4.8,1
47.0,59,9,4.779661016949152,1
47.0,58,9,4.862068965517242,1
47.0,57,9,4.947368421052632,1
47.0,56,9,5.035714285714286,1
43.0,55,9,4.690909090909091,1
43.0,54,9,4.777777777777778,1
42.0,53,9,4.754716981132075,1
40.0,52,9,4.615384615384616,1
40.0,51,9,4.705882352941177,1
38.0,50,9,4.56,1
37.0,49,9,4.530612244897959,1
32.0,48,9,4.0,1
31.0,47,9,3.9574468085106385,1
31.0,46,9,4.043478260869565,1
27.0,47,9,3.446808510638298,1
21.0,46,9,2.7391304347826084,1
17.0,45,9,2.2666666666666666,1
11.0,44,9,1.5,1
7.0,43,9,0.9767441860465116,1
1.0,42,9,0.14285714285714285,1
209.0,119,10,10.53781512605042,0
208.0,118,10,10.576271186440678,0
207.0,117,10,10.615384615384615,0
203.0,116,10,10.5,0
202.0,115,10,10.539130434782608,0
201.0,114,10,10.578947368421053,0
200.0,113,10,10.619469026548673,0
200.0,112,9,10.714285714285714,0
196.0,113,9,10.4070796460177,0
196.0,112,9,10.5,0
196.0,111,9,10.594594594594595,0
196.0,110,9,10.690909090909091,0
196.0,109,9,10.788990825688073,0
196.0,108,9,10.88888888888889,0
195.0,107,9,10.934579439252337,0
194.0,106,9,10.981132075471697,0
190.0,105,9,10.857142857142858,0
186.0,104,9,10.730769230769232,0
184.0,103,9,10.718446601941746,0
184.0,102,9,10.823529411764707,0
183.0,101,9,10.871287128712872,0
183.0,100,9,10.979999999999999,0
179.0,99,9,10.848484848484848,0
179.0,98,8,10.959183673469388,0
179.0,97,8,11.072164948453608,0
178.0,96,8,11.125,0
174.0,95,8,10.989473684210527,0
174.0,94,8,11.106382978723405,0
170.0,93,8,10.96774193548387,0
164.0,92,8,10.695652173913043,0
160.0,91,8,10.54945054945055,0
159.0,90,8,10.6,0
